Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
156.0,205.0,205.0,10.3,11.0,2.39,2.32,6.65,6.6,-0.05
157.0,205.0,205.0,10,10.4,2.34,2.27,6.97,7.12,0.15
158.0,205.0,205.0,10.3,11.7,2.82,2.63,7.05,6.66,-0.39
159.0,205.0,205.0,10.2,11.1,2.4,2.3,6.69,6.59,-0.1
160.0,205.0,205.0,10.2,11.0,2.4,2.32,6.69,6.6,-0.09
161.0,205.0,205.0,10,10.4,2.34,2.7,6.97,7.31,0.34
162.0,205.0,205.0,10.1,11.0,2.5,2.47,6.56,6.28,-0.28
163.0,205.0,205.0,10.1,10.9,2.37,2.75,6.84,6.85,0.01
164.0,205.0,205.0,10.1,11.1,2.49,2.38,6.58,6.41,-0.17
165.0,205.0,205.0,10,10.3,2.49,2.41,6.64,6.85,0.21
166.0,205.0,205.0,,,,,,,
167.0,404.32,205.0,21.3,11.9,2.75,2.6,6.91,6.62,-0.29
168.0,404.32,205.0,20.3,11.8,2.93,2.75,6.79,6.31,-0.48
169.0,404.32,205.0,21.3,12.0,2.37,2.75,6.4,6.22,-0.18
170.0,205.0,205.0,10,10.4,2.42,2.35,6.79,6.92,0.13
171.0,404.32,205.0,21.3,11.9,2.88,2.65,6.59,6.49,-0.1
172.0,205.0,205.0,9.4,10.8,2.46,2.41,7.13,6.53,-0.6
173.0,205.0,205.0,10.2,11.0,2.91,2.3,6.91,6.65,-0.26
174.0,205.0,205.0,10.1,11.0,2.56,2.47,6.41,6.28,-0.13
175.0,205.0,205.0,10.1,10.9,,2.38,,6.53,6.53
176.0,205.0,205.0,,,,,,,
177.0,205.0,205.0,10,10.3,2.5,2.75,6.62,7.22,0.6
178.0,205.0,205.0,10,10.3,2.91,2.28,7.05,7.17,0.12
179.0,205.0,205.0,9.4,10.7,2.55,2.52,6.91,6.34,-0.57
180.0,205.0,205.0,10,10.4,2.46,2.38,6.7,6.84,0.14
181.0,205.0,205.0,10,10.4,2.43,2.32,6.77,6.98,0.21
182.0,404.32,205.0,21.2,11.8,2.68,2.52,7.11,6.9,-0.21
183.0,205.0,205.0,10,10.4,2.43,2.32,6.77,6.98,0.21
184.0,404.32,205.0,21.3,11.9,2.7,2.54,7.02,6.77,-0.25
185.0,205.0,205.0,10,10.4,2.46,2.36,6.7,6.9,0.2
186.0,205.0,205.0,10.1,11.0,2.37,2.75,6.84,6.78,-0.06
187.0,205.0,205.0,9.4,10.9,2.66,2.53,6.7,6.21,-0.49
188.0,205.0,205.0,9.4,10.7,2.63,2.49,6.76,6.4,-0.36
189.0,205.0,205.0,10,10.3,2.55,2.47,6.5,6.71,0.21
190.0,205.0,205.0,10,10.4,2.46,2.36,6.7,6.9,0.2
191.0,205.0,205.0,10.1,10.9,2.86,2.7,7.1,6.96,-0.14
192.0,205.0,205.0,9.4,10.9,2.55,2.44,6.91,6.39,-0.52
193.0,205.0,205.0,10.1,11.0,2.77,2.61,7.33,7.14,-0.19
194.0,205.0,205.0,10.2,11.0,2.43,2.35,6.63,6.54,-0.09
195.0,205.0,205.0,10.2,11.0,2.8,2.62,7.18,7.1,-0.08
196.0,205.0,205.0,10.2,10.9,2.8,2.72,7.18,6.9,-0.28
197.0,205.0,205.0,9.4,10.8,2.46,2.33,7.13,6.7,-0.43
198.0,205.0,205.0,10.2,11.1,2.39,2.3,6.71,6.59,-0.12
199.0,205.0,205.0,,,,,,,
200.0,205.0,205.0,10.3,11.1,2.91,2.75,6.85,6.72,-0.13
