Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
572,C,Mendelssohn,KY,,3 / 45,1/8,9.4,,,,,,,,,,,,,,,17,"Dark Star Thoroughbreds (Stori Atchison), Agent",,
573,F,Mind Control,NY,,3 / 100,1/4,21.0,,,,,,,,,,,,,,,10,"Tom McCrocklin, Agent",,
574,F,Mo Donegal,KY,,3 / 126,1/8,10.0,,,,,,,,,,,,,,,14,"Little Farm Equine LLC, Agent IV",,
575,C,Gone Astray,FL,,3 / 96,1/8,10.2,,,,,,,,,,,,,,,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",,
576,C,Yaupon,KY,,3 / 43,1/8,9.4,,,,,,,,,,,,,,,1,"Kings Equine, Agent IV",,
577,F,Funtastic,KY,,3 / 36,1/8,10.1,,,,,,,,,,,,,,,18,Twelve Toes LLC,,
578,C,Epicenter,NY,,3 / 18,1/8,10.0,,,,,,,,,,,,,,,9,"Sequel Bloodstock, Agent for Chester Broman",,
581,C,Tapit,KY,,3 / 73,1/8,10.2,,,,,,,,,,,,,,,12,"de Meric Sales, Agent",,
582,F,Improbable,KY,,3 / 85,1/8,10.0,,,,,,,,,,,,,,,13,"Marco Hernandez Stables LLC, Agent II",,
583,C,Cyberknife,KY,,3 / 113,1/8,10.1,,,,,,,,,,,,,,,12,"de Meric Sales, Agent XII",,
585,C,Gunnevera,FL,,3 / 35,1/8,10.3,,,,,,,,,,,,,,,17,Champions of the Future,,
586,F,Flameaway,KY,,3 / 83,1/8,10.0,,,,,,,,,,,,,,,3,"J V C Training and Sales, Agent II",,
587,C,Cyberknife,KY,,3 / 39,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XXX",,
588,C,Complexity,KY,,3 / 59,1/8,10.2,,,,,,,,,,,,,,,16,Two Brother's Equine,,
589,C,Uncle Mo,KY,,3 / 54,1/8,10.1,,,,,,,,,,,,,,,11,"Randy Miles, Agent VIII",,
