Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
225,F,CYBERKNIFE,NY,,,1/8,10.1,11.1,34.4,49.4,,11.29,24.64,39.67,1.5,0.2,3 mph CW,80°,,Slow,8,"Niall Brennan Stables, Agent II",25SARAUG $110K / 24FTNMIX $72K,$15K 2026 / $30K 2023,
226,C,Awesome Slew,FL,,,1/8,10.1,11,34.1,51,,11.04,24.1,40.92,3.89,0.91,6 mph CW,83°,,Slow,7,"Hoppel LLC, Agent XV",25OBSOCT ($37K),$4K 2026 / $4K 2023,
227,F,Not This Time,KY,,,1/8,10,10.3,33.3,48.2,,10.69,23.6,38.59,1.22,0.1,6 mph TW,67°,,Fair,12,"de Meric Sales, Agent III",25KEESEP ($325K),$250K 2026 / $135K 2023,
228,F,JACK CHRISTOPHER,NY,,,,,,,,,,,,11,0.92,,,,,8,"Niall Brennan Stables, Agent IX",25SARAUG $45K,$15K 2026 / $45K 2023,
229,F,Authentic,KY,,,1/4,21,11.4,32.4,47.2,01:04.4,,11.93,26.47,7,0.85,3 mph CW,80°,,Slow,17,J & R Thoroughbreds LLC,25KEESEP ($75K),$15K 2026 / $60K 2023,
230,C,Kantharos,FL,,,1/8,10.2,10.9,33.4,48,,10.97,23.59,37.67,4.33,0.88,4 mph TW,84°,,Slow,16,"Doble J Equine Sales, Agent I",25OBSWIN $10.5K,$10K 2026 / $20K 2023,
231,C,Yaupon,NY,,,1/8,10,11,33.4,48.1,,11.02,23.86,38.35,3,0.8,3 mph CW,80°,,Slow,9,"Sequel Bloodstock, Agent for Chester Broman",HB,$60K 2026 / $30K 2023,
232,C,McKinzie,KY,,,,,,,,,,,,3,0.63,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent I",25KEESEP $180K,$75K 2026 / $30K 2023,
233,C,BASIN,FL,,,1/8,10.1,10.9,33.2,46.4,,10.92,23.29,36.79,15,1,4 mph TW,67°,,Fair,5,"S B M Training and Sales, Agent III",25OBSWIN $25K,$5K 2026 / $5K 2023,
234,C,Nashville,LA,,,1/8,10,10.2,32.2,45.3,,10.54,22.51,35.6,2.43,0.67,5 mph CW,75°,,Fair,16,"RM Stables LLC, Agent V",25KEESEP $24K,$12.5K 2026 / $15K 2023,
235,C,Rock Your World,NY,,,1/8,10.2,11.1,35.1,51.4,,11.29,24.98,41.48,3.57,0.69,9 mph TW,85°,,Slow,10,"Flynt Fesmire, Agent III",HB,$7.5K 2026 / $10K 2023,
236,F,Nyquist,KY,,,1/8,10.3,11.1,36.1,54.2,,11.35,25.78,43.9,3,0.5,6 mph TW,83°,,Slow,15,"Goldencents Thoroughbreds, Agent II",25KEESEP $9K,$175K 2026 / $55K 2023,
237,F,Scalding,KY,,,1/8,10,10.4,33.4,49.1,,10.8,23.89,39.29,Infinite,1.5,8 mph TW,75°,,Fair,15,Goldencents Thoroughbreds,25FTDJUL $3.5K,N/A 2026 / N/A 2023,
238,F,Social Inclusion,FL,,,1/8,10.3,11.1,35.1,49.1,,11.23,24.68,38.67,2.2,0.63,8 mph TW,85°,,Slow,6,"RiceHorse Stable (Brandon & Ali Rice), Agent VI",25OBSOCT $1.5K,N/A 2026 / N/A 2023,
239,C,EARLY VOTING,NY,,,,,,,,,,,,1.67,0.5,,,,,10,"Tom McCrocklin, Agent VIII",25SARAUG $160K,$12.5K 2026 / $25K 2023,
240,F,Jack Christopher,KY,,,1/8,10.1,11,34.2,49,,11.1,24.22,38.98,3.8,0.75,3 mph CW,80°,,Slow,11,"Scanlon Training & Sales, Agent II",25KEESEP ($75K),$15K 2026 / $45K 2023,
241,F,Authentic,KY,,,1/8,10.1,11.1,34.4,50.2,,11.21,24.72,40.28,3,0.75,3 mph CW,73°,,Fair,13,"First Call, Agent III",25FTKOCT $28K,$15K 2026 / $60K 2023,
242,C,Solomini,NY,,,1/8,10.1,11,34,49.3,,11.18,23.89,39.54,6,0.93,3 mph CW,80°,,Slow,1,"Top Line Sales LLC, Agent",HB,$7.5K 2026 / $6.5K 2023,
243,C,Into Mischief,KY,,,1/8,10.2,11.1,35.1,52,,11.28,24.89,41.6,7,1,6 mph TW,83°,,Slow,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XVI",25KEESEP ($385K),$250K 2026 / $250K 2023,
244,F,Pinehurst,FL,,,1/8,10,11,34.3,50.4,,11.17,24.79,40.98,1.91,0.38,4 mph TW,69°,,Fair,9,"Old South Farm LLC, Agent",25KEESEP ($27K),$7.5K 2026 / $7.5K 2023,
245,F,Flightline,NY,,,1/8,10,10.3,32.4,47,,10.74,22.96,37.17,1.91,0.38,6 mph CW,69°,,Fair,9,"Sequel Bloodstock, Agent for Chester Broman",HB,$125K 2026 / $200K 2023,
246,C,Golden Pal,FL,,,1/8,10,10.4,33.2,46.4,,10.98,23.51,36.98,4,0.8,3 mph CW,80°,,Slow,13,"Five Star Equestrian Sales, Agent",25OBSOCT $8K,$25K 2026 / $30K 2023,
247,C,Life Is Good,KY,,,,,,,,,,,,1,0.2,,,,,12,"de Meric Sales, Agent",25KEESEP $125K,$60K 2026 / $100K 2023,
248,C,Nashville,FL,,,,,,,,,,,,3,0.63,,,,,12,"Envision Equine, Agent",HB,$12.5K 2026 / $15K 2023,
249,C,Yaupon,KY,,,,,,,,,,,,1.4,0.25,,,,,7,"Hoppel LLC, Agent XXI",25KEESEP $130K,$60K 2026 / $30K 2023,
250,F,Aloha West,KY,,,1/4,20.4,11.7,32.1,45.3,01:01.2,,11.5,24.92,4.6,0.79,8 mph TW,79°,,Slow,7,"Hoppel LLC, Agent IX",25KEESEP $45K,$6.5K 2026 / $10K 2023,
251,C,Mo Town,KY,,,1/8,10.1,11,33.3,46.4,,11.04,23.51,36.67,1.67,0.42,9 mph TW,74°,,Fair,18,"Golden Noguez, Agent II",25KEESEP $5K,$7.5K 2026 / $5K 2023,
252,C,Speaker's Corner,KY,,,1/8,10.3,11.1,34.4,49.3,,11.34,24.28,39.09,1.55,0.29,3 mph CW,80°,,Slow,10,"Flynt Fesmire, Agent I",25KEESEP $55K / 25KEEJAN $60K,$10K 2026 / $20K 2023,
253,C,Mo Donegal,KY,,,1/8,9.4,10.8,32.3,47,,10.69,22.98,37.28,3,0.5,6 mph CW,84°,,Slow,18,GOP Racing Stable Corp.,25FTKOCT $30K,$5K 2026 / $20K 2023,
254,C,Frosted,KY,,4 / 100,1/8,10.4,,,,,,,,3.5,0.72,,,,,17,Next Level Thoroughbreds,25FTKOCT $75K,$12.5K 2026 / $10K 2023,
255,C,MACLEAN'S MUSIC,KY,,,1/8,9.4,10.8,33.1,49,,10.71,23.53,39.34,6.33,1,3 mph CW,69°,,Fair,6,"RiceHorse Stable (Brandon & Ali Rice), Agent",25FTKOCT $100K / 25FTKJUL ($195K),$30K 2026 / $50K 2023,
256,C,DRAIN THE CLOCK,NY,,,1/8,10.1,11,33.4,47.1,,11.04,23.6,37.17,4,0.85,5 mph CW,73°,,Fair,8,"Paul Sharp, Agent I",25SARAUG $195K / 25FTKFEB $57K / 24FTNMIX $32K,$10K 2026 / $10K 2023,
257,C,CHARLATAN,KY,,,1/8,10.2,11.1,35.1,50.4,,11.36,24.87,40.48,3,0.6,3 mph CW,80°,,Slow,1,"Sugar Hill LLC, Agent",25FTKOCT $20K,$25K 2026 / $50K 2023,
258,F,Greatest Honour,NY,,,1/8,10.1,11,35.1,51.2,,11.13,25.1,41.35,5,0.83,6 mph TW,83°,,Slow,11,"Randy Miles, Agent VIII",25KEESEP $37K / 25FTKFEB $20K,$7.5K 2026 / $7.5K 2023,
259,C,EPICENTER,NY,,,1/8,10.2,11,34.2,48.3,,11.11,24.18,38.35,1.67,0.5,4 mph TW,85°,,Slow,16,"Golden Rock Thoroughbreds, Agent II",25SARAUG $45K,$25K 2026 / $45K 2023,
260,C,CYBERKNIFE,NY,,,G,-,#VALUE!,NaN,NaN,,-,-,-,2,0.33,9 mph TW,86°,,Slow,18,Navas Equine,25SARAUG ($22K),$15K 2026 / $30K 2023,
261,F,Curlin's Honor,FL,,,1/8,10,10.3,33.3,49.3,,10.79,23.69,39.7,3,0.67,4 mph TW,84°,,Slow,1,"Top Line Sales LLC, Agent VII",25OBSOCT $15K,$2.5K 2026 / $2.5K 2023,
262,F,Drain the Clock,FL,,,1/8,10,10.4,33.3,48.3,,10.85,23.75,38.6,5.67,0.7,5 mph CW,79°,,Slow,9,"Old South Farm LLC, Agent",25KEESEP $70K / 25OBSWIN $33K,$10K 2026 / $10K 2023,
263,C,Caracaro,KY,,,,,,,,,,,,3,0.67,,,,,6,"Britton Peak, Agent I",25KEESEP $50K,$10K 2026 / $6.5K 2023,
264,F,Olympiad,KY,,,1/8,10.1,11.1,35,51,,11.29,24.92,40.98,3.8,0.83,4 mph TW,84°,,Slow,13,"First Call, Agent III",25FTKOCT $10K,$20K 2026 / $35K 2023,
265,C,Maclean's Music,KY,,,1/8,10.1,10.9,33.4,49.2,,10.87,23.64,39.39,8.33,1,8 mph CW,73°,,Fair,14,New Hope AB LLC,25KEESEP $25K / 24KEENOV $5K,$30K 2026 / $50K 2023,
266,F,Jackie's Warrior,KY,,,1/8,10.1,11,34.2,49.2,,11.04,24.28,39.29,5,0.83,10 mph CW,74°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP ($185K) / 25KEEJAN $80K,$25K 2026 / $50K 2023,
267,C,Maclean's Music,KY,,,1/8,10,10.4,34,49.1,,10.97,24.04,39.23,2.71,0.54,5 mph CW,76°,,Fair,4,"Kinsman Farm, Agent",25KEESEP $110K,$30K 2026 / $50K 2023,
268,C,Street Sense,VA,,,,,,,,,,,,3,0.64,,,,,5,"Hartley / DeRenzo Thoroughbreds LLC, Agent I",25KEESEP ($190K) / 24KEENOV $110K,$40K 2026 / $75K 2023,
269,F,YAUPON,KY,,,1/8,10,10.4,33.2,47,,10.86,23.42,37.17,7,1.25,6 mph TW,67°,,Fair,11,"Scanlon Training & Sales, Agent",25FTKJUL $265K,$60K 2026 / $30K 2023,
270,C,GIRVIN,KY,,,,,,,,,,,,3,0.5,,,,,18,Navas Equine,25FTKJUL $30K,$30K 2026 / $25K 2023,
271,C,Candy Ride (ARG),KY,,,1/8,10.1,10.9,33.4,47.3,,10.99,23.72,37.59,1.4,0.33,9 mph CW,72°,,Fair,8,"Six K's Training & Sales LLC, Agent I",25KEESEP $110K,$60K 2026 / $75K 2023,
272,C,Mo Donegal,KY,,,1/8,9.4,10.9,33.2,48,,10.81,23.72,38.29,1.4,0.17,9 mph CW,74°,,Fair,18,GOP Racing Stable Corp.,25KEESEP $20K,$5K 2026 / $20K 2023,
273,C,Omaha Beach,FL,,,,,,,,,,,,3,0.75,,,,,12,"de Meric Sales, Agent XV",HB,$75K 2026 / $30K 2023,
274,C,Golden Lad,MD,,,,,,,,,,,,3.8,1,,,,,8,"Niall Brennan Stables, Agent",HB,$2.5K 2026 / $5K 2023,
275,F,Volatile,KY,,,1/8,10.3,11.1,34.4,49.1,,11.25,24.29,38.67,13,1.07,6 mph CW,84°,,Slow,8,"Niall Brennan Stables, Agent V",25KEESEP ($37K) / 24KEENOV $25K,$10K 2026 / $12.5K 2023,
276,F,Honor A. P.,KY,,,1/8,10.3,11.8,35.2,50.4,,11.63,24.85,40.39,3,0.67,5 mph TW,85°,,Slow,13,"Marco Hernandez Stables LLC, Agent I",25KEESEP $25K,$7.5K 2026 / $15K 2023,
277,C,BLAME,KY,,,1/8,10.1,10.9,33.4,49.2,,10.97,23.73,39.29,1.77,0.44,4 mph CW,85°,,Slow,7,"Hoppel LLC, Agent V",25FTKOCT ($19K) / 25FTKJUL ($32K) / 24KEENOV $7.5K,$25K 2026 / $25K 2023,
278,C,Upstart,KY,,,1/8,10.1,10.9,33.2,47,,10.85,23.29,36.99,3,0.75,11 mph TW,75°,,Fair,16,"Golden Rock Thoroughbreds, Agent I",25KEESEP $32K,$25K 2026 / $30K 2023,
279,F,NASHVILLE,KY,,,1/4,21.2,11.9,33.1,46.4,01:02.4,,11.89,25.53,3,0.6,6 mph TW,69°,,Fair,3,"Pick View LLC, Agent XII",25FTKJUL $140K,$12.5K 2026 / $15K 2023,
280,F,McKinzie,KY,,,1/8,10.1,11,34.3,51,,11.17,24.58,40.85,15,1,3 mph CW,80°,,Slow,8,Cortez Racing & Sales,25KEESEP $20K,$75K 2026 / $30K 2023,
281,C,Tapit,KY,,,1/8,10.3,11.9,35.4,50.3,,11.86,25.29,40.11,3,0.7,3 mph CW,80°,,Slow,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",HB,$185K 2026 / $185K 2023,
282,C,Bucchero,FL,,,1/8,10.2,11.1,34.2,49,,11.21,24.17,38.67,3,0.75,6 mph TW,85°,,Slow,15,Two Oaks Equine,25OBSWIN $10K,$12.5K 2026 / $5K 2023,
283,C,Practical Joke,KY,,,1/8,10,11,34.2,48.4,,11.08,24.41,38.85,3,0.5,11 mph CW,76°,,Fair,8,Andrew Phelan Bloodstock,25KEESEP $130K,$75K 2026 / $25K 2023,
284,F,Drain the Clock,KY,,,1/4,20.1,11.3,31.4,46,01:02.3,,11.79,25.91,11,1,5 mph TW,74°,,Fair,7,"Hoppel LLC, Agent XVI",HB,$10K 2026 / $10K 2023,
285,F,TIZ THE LAW,NY,,,,,,,,,,,,7,1,,,,,11,"Scanlon Training & Sales, Agent",25SARAUG $170K / 24FTNMIX $1K,$40K 2026 / $30K 2023,
286,F,HIGHLY MOTIVATED,NY,,,1/8,9.4,10.9,33.1,47.4,,10.89,23.54,38.04,1.4,0.33,7 mph TW,74°,,Fair,18,Navas Equine,25SARAUG $18K / 24FTNMIX $30K,$7.5K 2026 / $7.5K 2023,
287,F,Imperial Hint,LA,,,1/8,9.4,10.8,32.3,47.2,,10.71,22.92,37.63,3,0.75,3 mph CW,80°,,Slow,16,"Golden Rock Thoroughbreds, Agent",HB,N/A 2026 / $3K 2023,
288,C,Wootton Bassett (GB),IRE,,,1/8,10.2,11.1,34.4,51.4,,11.36,24.54,41.54,1.67,0.25,3 mph CW,80°,,Slow,11,"Scanlon Training & Sales, Agent II",25KEESEP ($200K),N/A 2026 / 150K 2023,
289,F,Candy Ride (ARG),KY,,,1/8,10.1,10.9,33.4,48.1,,10.83,23.62,38.1,2.33,0.6,3 mph CW,80°,,Slow,5,"S B M Training and Sales, Agent",25KEESEP $100K,$60K 2026 / $75K 2023,
290,C,Colonel Liam,FL,,,1/4,21.2,11.9,33.1,47,01:02.2,,11.89,25.67,5,0.83,3 mph CW,80°,,Slow,4,Ocala Stud,HB,$6.5K 2026 / $6.5K 2023,
291,F,Golden Pal,KY,,,,,,,,,,,,3,0.5,,,,,4,Ocala Stud,HB,$25K 2026 / $30K 2023,
292,C,Nashville,KY,,,1/8,10,10.3,33.1,47,,10.73,23.29,37.1,2.6,0.61,6 mph TW,67°,,Fair,1,"Kings Equine, Agent",25KEESEP $125K,$12.5K 2026 / $15K 2023,
293,C,Caracaro,KY,,,1/4,20.3,11.8,32.1,46.4,01:04.1,,11.79,26.22,7,1,7 mph CW,70°,,Fair,3,"Global Thoroughbreds LLC, Agent",HB,$10K 2026 / $6.5K 2023,
294,C,Tiz the Law,KY,,,1/4,20.4,11.8,32.2,46.3,01:02.4,,11.67,25.98,3,0.83,7 mph CW,72°,,Fair,7,"Hoppel LLC, Agent XIX",25KEESEP $150K,$40K 2026 / $30K 2023,
295,F,Jackie's Warrior,KY,,,,,,,,,,,,4.33,0.75,,,,,5,"S B M Training and Sales, Agent III",25KEESEP $210K,$25K 2026 / $50K 2023,
296,F,Maximum Security,KY,,,1/8,10.1,11,34.3,48.4,,11.12,24.47,38.67,7,1,8 mph TW,79°,,Slow,3,"Rivera Training and Sales, Agent I",HB,$3.5K 2026 / $10K 2023,
297,C,Mutasaabeq,FL,,,1/8,10,11,35.4,53.3,,11.18,25.81,43.78,3,0.75,8 mph CW,79°,,Slow,13,Marco Hernandez Stables LLC,HB,N/A 2026 / $6.5K 2023,
298,C,Roadster,FL,,,1/8,10,10.2,32.4,46,,10.59,22.85,36.1,3,0.63,3 mph CW,80°,,Slow,13,"Azpurua Stables, Agent II",HB,$7.5K 2026 / $7.5K 2023,
299,C,Mo Town,KY,,,1/4,20.2,11.9,32.1,46.4,01:03.2,,11.83,26.41,7,1,6 mph TW,67°,,Fair,7,"Hoppel LLC, Agent V",24KEENOV $40K,$7.5K 2026 / $5K 2023,
300,F,Volatile,KY,,,1/8,10.1,10.9,33.2,47.3,,10.88,23.32,37.54,8,0.94,4 mph TW,68°,,Fair,17,"Next Level Thoroughbreds, Agent IV",25OBSOCT $27K / 25FTDFEB $9.5K,$10K 2026 / $12.5K 2023,
301,C,MUNNINGS,KY,,,1/8,10,10.2,33.1,NaN,,10.59,23.39,N/A,2.67,0.55,5 mph CW,70°,Bumped rail during his gallop out nearing 1/2 mile pole. Dropped rider,Fair,6,"Britton Peak, Agent I",25FTKJUL $190K / 24KEENOV $125K,$45K 2026 / $100K 2023,
302,C,Knicks Go,KY,,,1/8,9.4,10.9,33.3,48.4,,10.81,23.99,39.1,5,0.78,3 mph CW,80°,,Slow,3,"Global Thoroughbreds LLC, Agent II",24KEENOV $42K,N/A 2026 / $15K 2023,
303,C,Early Voting,KY,,,1/8,10.3,11.1,34.4,49.1,,11.32,24.27,38.76,1.5,0.2,4 mph TW,84°,,Slow,18,"Scenic Sales, Agent",25FTDJUN $7K,$12.5K 2026 / $25K 2023,
304,F,Girvin,FL,,,1/8,10.1,11.1,35.2,52,,11.22,25.29,41.85,3,0.75,3 mph CW,80°,,Slow,3,"Mayberry Farm, Agent I",HB,$30K 2026 / $25K 2023,
305,C,Maclean's Music,NY,,,1/8,10,11,34.4,50.3,,11.17,24.87,40.67,6,0.86,12 mph CW,85°,,Slow,9,"Sequel Bloodstock, Agent for Chester Broman",HB,$30K 2026 / $50K 2023,
306,F,Bolt d'Oro,KY,,,,,,,,,,,,5,0.89,,,,,16,"Golden Rock Thoroughbreds, Agent II",25KEESEP $95K,$25K 2026 / $35K 2023,
307,F,MAXIMUS MISCHIEF,KY,,,1/8,10.1,10.9,33.3,47.4,,10.92,23.51,37.73,7,1,4 mph CW,85°,,Slow,16,"RM Stables LLC, Agent III",25FTKOCT $15K,$20K 2026 / $7.5K 2023,
308,C,Highly Motivated,KY,,,1/8,10.1,10.3,33.3,47.2,,10.6,23.42,37.23,3,0.5,6 mph TW,67°,,Fair,18,Navas Equine,25KEESEP $45K,$7.5K 2026 / $7.5K 2023,
309,C,Nashville,KY,,,1/4,21.3,12.8,34.1,47.3,01:03.0,,12.79,26.17,3,0.75,8 mph TW,79°,,Slow,17,"Caliente Thoroughbreds, Agent V",25KEESEP $110K,$12.5K 2026 / $15K 2023,
310,F,Mystic Guide,KY,,,1/8,10.1,11,34.1,49.2,,11.1,24.17,39.34,2.27,0.5,3 mph CW,80°,,Slow,18,Twelve Toes LLC,25KEESEP $28K,$7.5K 2026 / $15K 2023,
311,C,Improbable,KY,,,,,,,,,,,,4.6,0.93,,,,,16,"Limitless Thoroughbred LLC, Agent",25OBSOCT $10K / 24FTNMIX $5K,N/A 2026 / $25K 2023,
312,F,Win Win Win,FL,,,1/4,21.1,11.3,32.4,46.1,01:02.1,,11.64,25.1,5.67,1,3 mph CW,80°,,Slow,4,"Ocala Stud, Agent",HB,$8.5K 2026 / $5K 2023,
313,C,Mandaloun,KY,,,1/8,10,10.4,33.3,48.1,,10.82,23.67,38.29,4.33,0.88,8 mph CW,69°,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VIII",25KEESEP $130K,$10K 2026 / $25K 2023,
314,F,Mandaloun,KY,,,1/8,10.1,10.9,33.2,47,,10.92,23.21,36.96,4,0.9,6 mph CW,83°,,Slow,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP ($130K),$10K 2026 / $25K 2023,
315,F,Yaupon,KY,,,1/8,9.4,10.9,33.3,47.4,,10.85,23.85,38.04,7,1.25,4 mph TW,76°,,Fair,9,"Parrish Farms, Agent",25KEESEP $85K,$60K 2026 / $30K 2023,
316,C,Cyberknife,NY,,,1/8,9.4,10.8,33.2,48.1,,10.77,23.61,38.4,2.2,0.5,6 mph TW,67°,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent I",25KEESEP $150K / 24FTNMIX $65K,$15K 2026 / $30K 2023,
317,F,Jack Christopher,KY,,,1/4,21,12,33,48,01:05.0,,12.13,27.18,7,0.75,3 mph TW,68°,,Fair,4,"Ocala Stud, Agent",HB,$15K 2026 / $45K 2023,
318,C,Pinehurst,KY,,,1/8,10,10.4,33.2,47.3,,10.87,23.52,37.73,1.4,0.17,6 mph CW,83°,,Slow,1,"Kings Equine, Agent",25KEESEP $60K,$7.5K 2026 / $7.5K 2023,
319,C,Girvin,FL,,,1/8,10.1,11,34,48.1,,11.03,23.84,38.15,3,0.58,4 mph TW,84°,,Slow,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP $70K / 24KEENOV $36K,$30K 2026 / $25K 2023,
320,C,Roadster,KY,,,1/4,21,11.2,32.2,46.1,100.2,,11.59,25.29,3,0.6,7 mph CW,73°,,Fair,14,"Omar Ramirez Bloodstock, Agent XXI",25KEESEP $62K,$7.5K 2026 / $7.5K 2023,
321,F,Life Is Good,KY,,,1/8,9.4,10.9,33.1,47.3,,10.83,23.42,37.92,3,1,8 mph TW,68°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP $275K,$60K 2026 / $100K 2023,
322,C,Charlatan,KY,,,1/8,10.1,10.9,33.2,47,,10.8,23.35,36.85,3,0.6,4 mph TW,68°,,Fair,17,"Caliente Thoroughbreds, Agent VIII",25KEESEP $110K,$25K 2026 / $50K 2023,
323,C,Known Agenda,FL,,,1/8,10.2,11,34.2,49,,11.04,24.1,38.67,1.5,0.3,9 mph CW,85°,,Slow,13,"Azpurua Stables, Agent III",25OBSOCT $10K,$5K 2026 / $10K 2023,
324,F,Volatile,KY,,,,,,,,,,,,31,1.13,,,,,15,Maldonado Thoroughbreds,25KEESEP $20K,$10K 2026 / $12.5K 2023,
325,C,Highly Motivated,KY,,,1/8,10.2,10.9,34,49.1,,10.99,23.73,38.92,3,0.5,3 mph CW,80°,,Slow,13,"Blue Sapphire Stables, Agent IV",25OBSOCT ($27K) / 25KEEJAN $26K,$7.5K 2026 / $7.5K 2023,
326,C,Jimmy Creed,KY,,,1/8,10.1,11.1,34.3,49.2,,11.23,24.54,39.23,5,1,3 mph CW,82°,,Slow,13,Marco Hernandez Stables LLC,25KEESEP $5.5K,$7.5K 2026 / $10K 2023,
327,F,HIGHLY MOTIVATED,KY,,,1/8,10,11.1,35,51.2,,11.23,25.15,41.42,4.33,0.75,3 mph CW,80°,,Slow,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",25FTKOCT $82K / 25FTKFEB $30K / 25KEEJAN $13K,$7.5K 2026 / $7.5K 2023,
328,F,Olympiad,KY,,,1/8,10,10.4,33,46.3,,10.85,23.06,36.65,3.5,0.78,9 mph CW,79°,,Slow,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP ($45K) / 24KEENOV $50K,$20K 2026 / $35K 2023,
329,C,Olympiad,KY,,,,,,,,,,,,4,0.8,,,,,12,"Envision Equine, Agent I",HB,$20K 2026 / $35K 2023,
330,F,Army Mule,FL,,,1/4,20.4,11.8,32.2,46.4,01:03.4,,11.79,26.17,2.33,0.6,3 mph CW,80°,,Slow,10,"Tom McCrocklin, Agent V",HB,$25K 2026 / $12.5K 2023,
331,F,Strike Power,LA,,,1/8,10.1,10.9,34,48.3,,10.89,23.88,38.53,3.33,0.73,3 mph CW,80°,,Slow,16,"Fabian Sales LLC, Agent",25OBSWIN ($19K) / 25TTAYRL ($19K),N/A 2026 / $2K 2023,
332,C,Medaglia d'Oro,ON,,,,,,,,,,,,1.27,0.32,,,,,17,30-30 Ranch,25KEESEP $25K,N/A 2026 / $100K 2023,
333,F,Practical Joke,KY,,,1/8,10,11,34.2,50,,11.06,24.58,40.15,6,0.93,6 mph CW,75°,,Fair,8,"Niall Brennan Stables, Agent III",25KEESEP $130K / 24KEENOV $105K,$75K 2026 / $25K 2023,
334,F,Cyberknife,KY,,,,,,,,,,,,2.43,0.58,,,,,17,"My Little Stable Racing, Inc., Agent V",25OBSOCT $25K / 25KEESEP $12K,$15K 2026 / $30K 2023,
335,C,MITOLE,OH,,,,,,,,,,,,4.33,0.81,,,,,14,Great Destiny,25FTKOCT ($17K),$10K 2026 / $15K 2023,
336,C,City of Light,KY,,,1/8,10,11,33.4,48.4,,11.04,23.98,38.98,3,0.7,2 mph TW,68°,,Fair,1,"Top Line Sales LLC, Agent XXI",25KEESEP $150K,$35K 2026 / $60K 2023,
337,F,Girvin,KY,,,1/8,10.1,10.9,33.4,48.3,,10.85,23.79,38.54,9,0.9,3 mph CW,80°,,Slow,1,"Top Line Sales LLC, Agent XXXIX",25KEESEP ($140K),$30K 2026 / $25K 2023,
338,C,Corniche,KY,,,1/8,10.1,11,34.1,48.2,,11.06,24.1,38.35,2,0.5,8 mph CW,70°,,Fair,12,"de Meric Sales, Agent IX",25KEESEP $270K,$15K 2026 / $30K 2023,
339,F,Midshipman,KY,,,1/8,10.2,11.1,35.3,51.3,,11.29,25.23,41.21,4.2,0.77,3 mph CW,80°,,Slow,8,"Six K's Training & Sales LLC, Agent I",25KEESEP $37K,$15K 2026 / $20K 2023,
340,F,Speaker's Corner,KY,,,1/8,10.1,11,34.3,48.4,,11.19,24.41,38.79,3,0.5,8 mph CW,70°,,Fair,13,"Azpurua Stables, Agent I",25OBSOCT $48K / 24KEENOV $20K,$10K 2026 / $20K 2023,
341,C,Mo Town,KY,,,1/8,10.4,11,34.4,52.4,,11.18,24.16,42.17,11,1.17,3 mph TW,80°,,Slow,16,"Horseland Stables, Agent I",HB,$7.5K 2026 / $5K 2023,
342,C,Good Magic,KY,,,1/8,10.1,11.1,34.3,49.2,,11.23,24.48,39.23,3.67,0.79,6 mph CW,74°,,Fair,11,"Randy Miles, Agent VIII",25KEESEP $90K,$125K 2026 / $50K 2023,
343,F,Upstart,FL,,,1/4,20.4,11.7,32.1,45.2,01:00.1,,11.48,24.61,2.5,0.64,9 mph CW,72°,,Fair,10,"Tom McCrocklin, Agent",25KEENOV $60K,$25K 2026 / $30K 2023,
344,F,Tapiture,FL,,,1/8,10.1,11.1,35.1,51,,11.32,25.1,40.85,5.67,0.9,3 mph TW,86°,,Slow,9,"Old South Farm LLC, Agent",HB,6K CAN$ 2026 / $7.5K 2023,
345,F,HIGHLY MOTIVATED,KY,,,1/8,10.2,11,34.4,50,,11.17,24.47,39.65,3,1,3 mph CW,80°,,Slow,18,Navas Equine,25FTKOCT $18K / 25KEEJAN $2.5K,$7.5K 2026 / $7.5K 2023,
346,C,Idol,NY,,,,,,,,,,,,3.57,0.81,,,,,12,"Really and Truly Thoroughbreds, Agent III",25KEESEP $14K,$5K 2026 / $10K 2023,
347,C,Aloha West,KY,,,1/8,10,10.3,33.1,47.1,,10.63,23.31,37.35,3,0.64,8 mph CW,76°,,Fair,5,"S B M Training and Sales, Agent III",25KEEEP ($22K) / 24KEENOV $15K,$6.5K 2026 / $10K 2023,
348,C,CYBERKNIFE,KY,,,,,,,,,,,,2.6,0.67,,,,,1,"Kings Equine, Agent II",25FTKJUL ($95K),$15K 2026 / $30K 2023,
